sujeto_qid,entidad,relacion,valor,valor_es,valor_qid
Q1102274,Yawanawa,situado en la entidad territorial administrativa,Acre,Acre,Q40780
Q96403277,Ryukyuan in Brazil,país,Brasil,Brasil,Q155
Q1252992,Pueblo Dâw,situado en la entidad territorial administrativa,São Gabriel da Cachoeira,São Gabriel da Cachoeira,Q694840
Q115946670,Imigração alemã no Nordeste brasileiro,subclase de,Inmigración alemana en Brasil,Inmigración alemana en Brasil,Q321090
Q18204593,Vietnamese Brazilians,instancia de,grupo étnico,grupo étnico,Q2531956
Q111379242,"Italian immigration to Bahia, Brazil",subclase de,emigración,emigración,Q187668
Q111379242,"Italian immigration to Bahia, Brazil",subclase de,inmigración,inmigración,Q131288
Q18244605,"deutsche Einwanderung nach Rio de Janeiro, Brasilien",instancia de,diáspora o inmigración según país de origen y destino,diáspora o inmigración según país de origen y destino,Q117430967
Q18244608,"deutsche Einwanderung in São Paulo, Brasilien",instancia de,diáspora o inmigración según país de origen y destino,diáspora o inmigración según país de origen y destino,Q117430967
Q123677742,imigração alemã na Bahia,subclase de,emigración,emigración,Q187668
Q1091121,Piratapuyo,situado en la entidad territorial administrativa,Amazonas,Amazonas,Q40040
Q123677742,imigração alemã na Bahia,subclase de,inmigración,inmigración,Q131288
Q1024920,caboclo,subclase de,Traditional peoples in Brazil,Traditional peoples in Brazil,Q25383955
Q18244608,"deutsche Einwanderung in São Paulo, Brasilien",subclase de,Inmigración alemana en Brasil,Inmigración alemana en Brasil,Q321090
Q18204593,Vietnamese Brazilians,país,Brasil,Brasil,Q155
Q50001,italianos,subclase de,europeos occidentales,europeos occidentales,Q101094841
Q4023270,Yurutí,situado en la entidad territorial administrativa,Mitú,Mitú,Q130242
Q20715890,Icelandic Brazilians,instancia de,etnia,etnia,Q41710
Q17053108,Japanese community of São Paulo,instancia de,etnia,etnia,Q41710
Q25427533,Swedes in Brazil,país,Brasil,Brasil,Q155
Q186192,lituanos,subclase de,habitante,habitante,Q22947
Q17507339,Inmigración brasileña en Francia,instancia de,etnia,etnia,Q41710
Q3628096,Atikum people,situado en la entidad territorial administrativa,Pernambuco,Pernambuco,Q40942
Q111379242,"Italian immigration to Bahia, Brazil",instancia de,diáspora o inmigración según país de origen y destino,diáspora o inmigración según país de origen y destino,Q117430967
Q17052722,Nigerian Brazilians,instancia de,etnia,etnia,Q41710
Q49540,letones,subclase de,Balts,Balts,Q99529390
Q60999418,Belgian Brazilians,instancia de,etnia,etnia,Q41710
Q10344163,Pankaru,instancia de,etnia,etnia,Q41710
Q2520180,Tucano,subclase de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q96403277,Ryukyuan in Brazil,instancia de,etnia,etnia,Q41710
Q9816468,"deutsche Einwanderung in Santa Catarina, Brasilien",subclase de,Inmigración alemana en Brasil,Inmigración alemana en Brasil,Q321090
Q18242829,Catuenas,instancia de,pueblo indígena,pueblo indígena,Q103817
Q123677742,imigração alemã na Bahia,instancia de,diáspora o inmigración según país de origen y destino,diáspora o inmigración según país de origen y destino,Q117430967
Q16911557,Juris,país,Brasil,Brasil,Q155
Q16204670,quilombola,subclase de,Traditional peoples in Brazil,Traditional peoples in Brazil,Q25383955
Q110496914,Akrãtikatêjê-gavião,instancia de,pueblo indígena,pueblo indígena,Q103817
Q1882676,Machineris,nombre en la lengua nativa,Manchineri,Manchineri,
Q2520279,Korubo,nombre en la lengua nativa,Korubo,Korubo,
Q50001,italianos,nombre en la lengua nativa,italiani,italiani,
Q1560134,Waimiri-Atroari,país de origen,Brasil,Brasil,Q155
Q1789281,Noke Koi,país de origen,Brasil,Brasil,Q155
Q1115972,Cayabíes,país de origen,Brasil,Brasil,Q155
Q2222837,Aikanã,nombre en la lengua nativa,Aikanã,Aikanã,
Q1102274,Yawanawa,país de origen,Bolivia,Bolivia,Q750
Q1102274,Yawanawa,país de origen,Perú,Perú,Q419
Q1102274,Yawanawa,país de origen,Brasil,Brasil,Q155
Q1853257,Etnia waiwai,país de origen,Guyana,Guyana,Q734
Q894069,Bororos (Brasil),país de origen,Brasil,Brasil,Q155
Q1853257,Etnia waiwai,país de origen,Brasil,Brasil,Q155
Q2261479,Uru-Eu-Wau-Wau,país de origen,Brasil,Brasil,Q155
Q10344163,Pankaru,nombre en la lengua nativa,Pankaru,Pankaru,
Q2299416,Tiriyó,país de origen,Surinam,Surinam,Q730
Q3817508,Kuruaya,nombre en la lengua nativa,Kuruaya,Kuruaya,
Q2299416,Tiriyó,país de origen,Brasil,Brasil,Q155
Q186192,lituanos,nombre en la lengua nativa,lietuviai,lietuviai,
Q1099047,Tembé people,país de origen,Brasil,Brasil,Q155
Q2258624,Cubeo,país de origen,Colombia,Colombia,Q739
Q2258624,Cubeo,país de origen,Venezuela,Venezuela,Q717
Q2258624,Cubeo,país de origen,Brasil,Brasil,Q155
Q1737361,Caxararis,nombre en la lengua nativa,Kaxarari,Kaxarari,
Q3926036,Poyanawes,nombre en la lengua nativa,Puyanawa,Puyanawa,
Q809707,Baré,país de origen,Venezuela,Venezuela,Q717
Q809707,Baré,país de origen,Brasil,Brasil,Q155
Q1091121,Piratapuyo,país de origen,Colombia,Colombia,Q739
Q1091121,Piratapuyo,país de origen,Brasil,Brasil,Q155
Q3628096,Atikum people,nombre en la lengua nativa,Atikum,Atikum,
Q617636,Aparai people,nombre en la lengua nativa,Aparai,Aparai,
Q2259852,Siriano,nombre en la lengua nativa,Siriano,Siriano,
Q1722872,Kamayurá people,país de origen,Brasil,Brasil,Q155
Q1252992,Pueblo Dâw,país de origen,Brasil,Brasil,Q155
Q1349688,Matis,país de origen,Brasil,Brasil,Q155
Q3515431,Tapajós Indians,nombre en la lengua nativa,Tapajó,Tapajó,
Q1028268,Terena,país de origen,Brasil,Brasil,Q155
Q1273591,Wuy jugu,país de origen,Brasil,Brasil,Q155
Q1092569,Cintas largas,país de origen,Brasil,Brasil,Q155
Q1099056,Wauja people,país de origen,Brasil,Brasil,Q155
Q791722,Aweti people,nombre en la lengua nativa,Aweti,Aweti,
Q2299931,Wayana,nombre en la lengua nativa,Wayana,Wayana,
Q2467406,Assurini,nombre en la lengua nativa,Asurini do Tocantins,Asurini do Tocantins,
Q1028240,Kayapó,país de origen,Brasil,Brasil,Q155
Q963221,Apurinã people,país de origen,Brasil,Brasil,Q155
Q1476741,Nambikwara,país de origen,Brasil,Brasil,Q155
Q2520180,Tucano,nombre en la lengua nativa,Tukano,Tukano,
Q4018490,Wassu Cocal,nombre en la lengua nativa,Wassu,Wassu,
Q1091070,Karapana,país de origen,Colombia,Colombia,Q739
Q1091070,Karapana,país de origen,Brasil,Brasil,Q155
Q978982,Xavantes,país de origen,Brasil,Brasil,Q155
Q18279930,Pitaguarys,nombre en la lengua nativa,Pitaguary,Pitaguary,
Q682975,Patamona people,país de origen,Guyana,Guyana,Q734
Q617636,Aparai people,país de origen,Guayana Francesa,Guayana Francesa,Q3769
Q682975,Patamona people,país de origen,Brasil,Brasil,Q155
Q3515431,Tapajós Indians,país de origen,Brasil,Brasil,Q155
Q123677742,imigração alemã na Bahia,forma parte de,inmigración en Brasil,inmigración en Brasil,Q1309627
Q1115972,Cayabíes,nombre en la lengua nativa,Kawaiwete,Kawaiwete,
Q1722872,Kamayurá people,nombre en la lengua nativa,Kamaiurá,Kamaiurá,
Q894069,Bororos (Brasil),subclase de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q1090771,Kanoê,nombre en la lengua nativa,Kanoê,Kanoê,
Q1853257,Etnia waiwai,nombre en la lengua nativa,Waiwai,Waiwai,
Q111379242,"Italian immigration to Bahia, Brazil",forma parte de,brasileños italianos,brasileños italianos,Q3149102
Q726665,asháninca,país de origen,Perú,Perú,Q419
Q726665,asháninca,país de origen,Brasil,Brasil,Q155
Q123677742,imigração alemã na Bahia,forma parte de,Inmigración alemana en Brasil,Inmigración alemana en Brasil,Q321090
Q1349688,Matis,nombre en la lengua nativa,Matis,Matis,
Q49540,letones,forma parte de,bálticos,bálticos,Q207761
Q2222837,Aikanã,país de origen,Brasil,Brasil,Q155
Q1091659,Tenharim,país de origen,Brasil,Brasil,Q155
Q1099056,Wauja people,nombre en la lengua nativa,Wauja,Wauja,
Q10356498,Quiriri,país de origen,Brasil,Brasil,Q155
Q16482264,Columbian Brazilians,subclase de,imigración sudamericana a Brasil,imigración sudamericana a Brasil,Q6005108
Q1091121,Piratapuyo,nombre en la lengua nativa,Wa'íkãna,Wa'íkãna,
Q1091121,Piratapuyo,nombre en la lengua nativa,Pira-tapuya,Pira-tapuya,
Q1114291,Enawene nawe,país de origen,Brasil,Brasil,Q155
Q587300,Jupda,país de origen,Colombia,Colombia,Q739
Q587300,Jupda,país de origen,Brasil,Brasil,Q155
Q804230,Bacairi,nativo de,Brasil,Brasil,Q155
Q3817508,Kuruaya,país de origen,Brasil,Brasil,Q155
Q3926036,Poyanawes,país de origen,Brasil,Brasil,Q155
Q809707,Baré,nombre en la lengua nativa,Baré,Baré,
Q18236768,inmigración española a Bahía,forma parte de,inmigración en Brasil,inmigración en Brasil,Q1309627
Q4939689,Brasileños bolivianos,forma parte de,Bolivian diaspora,Bolivian diaspora,Q131624310
Q1737361,Caxararis,país de origen,Brasil,Brasil,Q155
Q1560134,Waimiri-Atroari,nativo de,Amazonas,Amazonas,Q40040
Q1560134,Waimiri-Atroari,nombre en la lengua nativa,Waimiri Atroari,Waimiri Atroari,
Q3149102,brasileños italianos,forma parte de,diáspora italiana,diáspora italiana,Q1675084
Q804230,Bacairi,país de origen,Brasil,Brasil,Q155
Q618073,Desano,nombre en la lengua nativa,Umukomasã,Umukomasã,
Q618073,Desano,nombre en la lengua nativa,Desana,Desana,
Q17507098,Cambas,nombre en la lengua nativa,Kamba,Kamba,
Q1252992,Pueblo Dâw,subclase de,Etnias makú,Etnias makú,Q1886550
Q10335573,Naruvôtu,nombre en la lengua nativa,Naruvotu,Naruvotu,
Q18242829,Catuenas,país de origen,Brasil,Brasil,Q155
Q1273591,Wuy jugu,subclase de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q49540,letones,forma parte de,Eastern Balts,Eastern Balts,Q12672016
Q186192,lituanos,forma parte de,Balts,Balts,Q99529390
Q476579,Inmigración alemana en Brasil,forma parte de,Inmigración alemana en Brasil,Inmigración alemana en Brasil,Q321090
Q2467406,Assurini,país de origen,Brasil,Brasil,Q155
Q618073,Desano,país de origen,Colombia,Colombia,Q739
Q618073,Desano,país de origen,Brasil,Brasil,Q155
Q2259852,Siriano,país de origen,Colombia,Colombia,Q739
Q2259852,Siriano,país de origen,Brasil,Brasil,Q155
Q50001,italianos,forma parte de,pueblos latinos,pueblos latinos,Q3157225
Q1065371,Ítalo-brasilero,forma parte de,diáspora italiana,diáspora italiana,Q1675084
Q894069,Bororos (Brasil),nombre en la lengua nativa,Bororo,Bororo,
Q1560134,Waimiri-Atroari,nativo de,Roraima,Roraima,Q42508
Q9816493,German colonization in Rio Grande do Sul,forma parte de,Inmigración alemana en Brasil,Inmigración alemana en Brasil,Q321090
Q18279930,Pitaguarys,país de origen,Brasil,Brasil,Q155
Q18236768,inmigración española a Bahía,forma parte de,Hispano-brasileños,Hispano-brasileños,Q4958951
Q2520180,Tucano,país de origen,Colombia,Colombia,Q739
Q2520180,Tucano,país de origen,Venezuela,Venezuela,Q717
Q2520180,Tucano,país de origen,Brasil,Brasil,Q155
Q1090771,Kanoê,país de origen,Brasil,Brasil,Q155
Q17076694,Nahukuá,país de origen,Brasil,Brasil,Q155
Q1737361,Caxararis,nativo de,Rondônia,Rondônia,Q43235
Q1092569,Cintas largas,nombre en la lengua nativa,Cinta larga,Cinta larga,
Q1252992,Pueblo Dâw,nombre en la lengua nativa,Dâw,Dâw,
Q1028268,Terena,nombre en la lengua nativa,Terena,Terena,
Q20715890,Icelandic Brazilians,forma parte de,diáspora islandesa,diáspora islandesa,Q5985797
Q20715890,Icelandic Brazilians,subclase de,Nordic Brazilians,Nordic Brazilians,Q7429947
Q682975,Patamona people,nombre en la lengua nativa,Patamona,Patamona,
Q791722,Aweti people,país de origen,Brasil,Brasil,Q155
Q5100397,Inmigración china en Brasil,forma parte de,diáspora china,diáspora china,Q779191
Q2520279,Korubo,país de origen,Brasil,Brasil,Q155
Q3299468,Greek Brazilians,forma parte de,diáspora griega,diáspora griega,Q132203
Q10335573,Naruvôtu,país de origen,Brasil,Brasil,Q155
Q7171144,Inmigración peruana en Brasil,forma parte de,Peruvian diaspora,Peruvian diaspora,Q131302756
Q2299931,Wayana,país de origen,Surinam,Surinam,Q730
Q2615416,Inmigración portuguesa en Brasil,forma parte de,diáspora portuguesa,diáspora portuguesa,Q3026388
Q1882676,Machineris,país de origen,Bolivia,Bolivia,Q750
Q1882676,Machineris,país de origen,Perú,Perú,Q419
Q1882676,Machineris,país de origen,Brasil,Brasil,Q155
Q726665,asháninca,subclase de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q2299931,Wayana,país de origen,Brasil,Brasil,Q155
Q6497327,Latvian Brazilians,forma parte de,diáspora letona,diáspora letona,Q6497441
Q50001,italianos,nativo de,Italia,Italia,Q38
Q186192,lituanos,forma parte de,Eastern Balts,Eastern Balts,Q12672016
Q18204593,Vietnamese Brazilians,forma parte de,overseas Vietnamese,overseas Vietnamese,Q2233666
Q1273591,Wuy jugu,nombre en la lengua nativa,Munduruku,Munduruku,
Q963221,Apurinã people,nombre en la lengua nativa,Apurinã,Apurinã,
Q5765445,Lithuanian Brazilians,forma parte de,diáspora lituana,diáspora lituana,Q17628791
Q17076694,Nahukuá,nombre en la lengua nativa,Nahukuá,Nahukuá,
Q617636,Aparai people,país de origen,Surinam,Surinam,Q730
Q4018490,Wassu Cocal,país de origen,Brasil,Brasil,Q155
Q617636,Aparai people,país de origen,Brasil,Brasil,Q155
Q1091070,Karapana,nombre en la lengua nativa,Karapanã,Karapanã,
Q1091659,Tenharim,nombre en la lengua nativa,Tenharim,Tenharim,
Q4740892,Judíos de la Amazonia,forma parte de,judíos,judíos,Q7325
Q1028240,Kayapó,nombre en la lengua nativa,Mebêngôkre Kayapó,Mebêngôkre Kayapó,
Q1114291,Enawene nawe,nombre en la lengua nativa,Enawenê-nawê,Enawenê-nawê,
Q3628096,Atikum people,país de origen,Brasil,Brasil,Q155
Q1476741,Nambikwara,nombre en la lengua nativa,Nambikwara,Nambikwara,
Q1789281,Noke Koi,nombre en la lengua nativa,Katukina Pano,Katukina Pano,
Q1114291,Enawene nawe,forma parte de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q587300,Jupda,subclase de,Etnias makú,Etnias makú,Q1886550
Q10344163,Pankaru,país de origen,Brasil,Brasil,Q155
Q18242829,Catuenas,nombre en la lengua nativa,Katuenayana,Katuenayana,
Q7429947,Nordic Brazilians,forma parte de,Nordic diaspora,Nordic diaspora,Q7429981
Q110496914,Akrãtikatêjê-gavião,nombre en la lengua nativa,Gavião Akrãtikatêjê,Gavião Akrãtikatêjê,
Q1102274,Yawanawa,nombre en la lengua nativa,Yawanawá,Yawanawá,
Q3926036,Poyanawes,nativo de,Mâncio Lima,Mâncio Lima,Q1772621
Q2299931,Wayana,país de origen,Guayana Francesa,Guayana Francesa,Q3769
Q2261479,Uru-Eu-Wau-Wau,nombre en la lengua nativa,Uru-Eu-Wau-Wau,Uru-Eu-Wau-Wau,
Q804230,Bacairi,nombre en la lengua nativa,Bakairi,Bakairi,
Q2299931,Wayana,forma parte de,Peuples autochtones de Guyane,Peuples autochtones de Guyane,Q111211041
Q1099047,Tembé people,nombre en la lengua nativa,Tembé,Tembé,
Q21655280,Gagauz people in Brazil,forma parte de,Gagauzos,Gagauzos,Q180361
Q5378198,English Brazilians,forma parte de,diáspora inglesa,diáspora inglesa,Q20876931
Q726665,asháninca,nombre en la lengua nativa,Ashaninka,Ashaninka,
Q587300,Jupda,nombre en la lengua nativa,Hupda,Hupda,
Q978982,Xavantes,nombre en la lengua nativa,Xavante,Xavante,
Q922476,Pueblo akawayo,forma parte de,Ingarikó,Ingarikó,Q12632954
Q2299416,Tiriyó,nombre en la lengua nativa,Tiriyó,Tiriyó,
Q2258624,Cubeo,nombre en la lengua nativa,Kubeo,Kubeo,
Q111379242,"Italian immigration to Bahia, Brazil",forma parte de,inmigración en Brasil,inmigración en Brasil,Q1309627
Q10356498,Quiriri,nombre en la lengua nativa,Kiriri,Kiriri,
Q17507098,Cambas,país de origen,Brasil,Brasil,Q155
Q3693591,Kurripako,nombre en la lengua nativa,Koripako,Koripako,
Q3785971,Hixkaryanes,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3513512,Kanamarí,país,Brasil,Brasil,Q155
Q3816635,Guanano,situado en la entidad territorial administrativa,Alto Rio Negro Indigenous Territory,Alto Rio Negro Indigenous Territory,Q30326589
Q2540612,Waika,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3066236,potiguara,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2522647,Idioma trumaí,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2522647,Idioma trumaí,nombre en la lengua nativa,Trumai,Trumai,
Q2630736,Kuikuro,nombre en la lengua nativa,Kuikuro,Kuikuro,
Q3507494,Madijas,nombre en la lengua nativa,Kulina,Kulina,
Q3693591,Kurripako,país de origen,Colombia,Colombia,Q739
Q3693591,Kurripako,país de origen,Venezuela,Venezuela,Q717
Q3693591,Kurripako,país de origen,Brasil,Brasil,Q155
Q2630736,Kuikuro,país,Brasil,Brasil,Q155
Q2520155,Kalapalo people,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3513512,Kanamarí,nativo de,Amazonas,Amazonas,Q40040
Q2520155,Kalapalo people,nombre en la lengua nativa,Kalapalo,Kalapalo,
Q3507494,Madijas,país,Perú,Perú,Q419
Q3507494,Madijas,país,Brasil,Brasil,Q155
Q3812932,Karapotó,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3513512,Kanamarí,país de origen,Brasil,Brasil,Q155
Q3785971,Hixkaryanes,país,Brasil,Brasil,Q155
Q2540612,Waika,país,Brasil,Brasil,Q155
Q3066236,potiguara,país,Brasil,Brasil,Q155
Q2522647,Idioma trumaí,país,Brasil,Brasil,Q155
Q3693591,Kurripako,situado en la entidad territorial administrativa,Amazonas,Amazonas,Q40040
Q2520166,Macushí,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2520166,Macushí,nombre en la lengua nativa,Macuxi,Macuxi,
Q2630736,Kuikuro,país de origen,Brasil,Brasil,Q155
Q2520155,Kalapalo people,país,Brasil,Brasil,Q155
Q3507494,Madijas,país de origen,Perú,Perú,Q419
Q3507494,Madijas,país de origen,Brasil,Brasil,Q155
Q3812932,Karapotó,país,Brasil,Brasil,Q155
Q3785971,Hixkaryanes,país de origen,Brasil,Brasil,Q155
Q3693591,Kurripako,forma parte de,Baniwa-Curripaco-Wakuenai,Baniwa-Curripaco-Wakuenai,Q108513623
Q3066236,potiguara,país de origen,Brasil,Brasil,Q155
Q2522647,Idioma trumaí,país de origen,Brasil,Brasil,Q155
Q2520166,Macushí,país,Guyana,Guyana,Q734
Q2520166,Macushí,país,Venezuela,Venezuela,Q717
Q2520166,Macushí,país,Brasil,Brasil,Q155
Q2520155,Kalapalo people,país de origen,Brasil,Brasil,Q155
Q2520785,Maxakali,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3514848,Tamoios,país,Imperio del Brasil,Imperio del Brasil,Q217230
Q2520785,Maxakali,nombre en la lengua nativa,Maxakali,Maxakali,
Q3192858,Kapon,forma parte de,pueblo Kali'na,pueblo Kali'na,Q2486742
Q3514002,Tariana,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3192858,Kapon,instancia de,tribu,tribu,Q133311
Q3812932,Karapotó,país de origen,Brasil,Brasil,Q155
Q3509794,Tingui-Botó,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2708837,mayoruna,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2520166,Macushí,país de origen,Guyana,Guyana,Q734
Q2520166,Macushí,país de origen,Venezuela,Venezuela,Q717
Q2520166,Macushí,país de origen,Brasil,Brasil,Q155
Q3514002,Tariana,nombre en la lengua nativa,Tariana,Tariana,
Q3514848,Tamoios,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2520785,Maxakali,país,Brasil,Brasil,Q155
Q2549328,Wari’ people,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2522489,Chamacoco,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3514002,Tariana,país,Brasil,Brasil,Q155
Q3816635,Guanano,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3785971,Hixkaryanes,nombre en la lengua nativa,Hixkaryana,Hixkaryana,
Q3192858,Kapon,país,Brasil,Brasil,Q155
Q3509794,Tingui-Botó,nombre en la lengua nativa,Tingui Botó,Tingui Botó,
Q2530880,Mehináku,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2549328,Wari’ people,nombre en la lengua nativa,Wari',Wari',
Q2530880,Mehináku,nombre en la lengua nativa,Mehinako,Mehinako,
Q3816635,Guanano,situado en la entidad territorial administrativa,Mitú,Mitú,Q130242
Q3509794,Tingui-Botó,país,Brasil,Brasil,Q155
Q2708837,mayoruna,país,Perú,Perú,Q419
Q2708837,mayoruna,país,Brasil,Brasil,Q155
Q3693591,Kurripako,situado en la entidad territorial administrativa,Amazonas,Amazonas,Q170453
Q3693591,Kurripako,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3514848,Tamoios,país,Brasil,Brasil,Q155
Q2520785,Maxakali,país de origen,Brasil,Brasil,Q155
Q3514002,Tariana,país de origen,Colombia,Colombia,Q739
Q3514002,Tariana,país de origen,Brasil,Brasil,Q155
Q3812932,Karapotó,nombre en la lengua nativa,Karapotó,Karapotó,
Q2549328,Wari’ people,país,Brasil,Brasil,Q155
Q2522489,Chamacoco,país,Paraguay,Paraguay,Q733
Q2522489,Chamacoco,país,Brasil,Brasil,Q155
Q3816635,Guanano,país,Colombia,Colombia,Q739
Q3816635,Guanano,país,Brasil,Brasil,Q155
Q2708837,mayoruna,nombre en la lengua nativa,Matsés,Matsés,
Q3693591,Kurripako,situado en la entidad territorial administrativa,Guainía,Guainía,Q238645
Q2530880,Mehináku,país,Brasil,Brasil,Q155
Q3066236,potiguara,nombre en la lengua nativa,Potiguara,Potiguara,
Q3513512,Kanamarí,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3509794,Tingui-Botó,país de origen,Brasil,Brasil,Q155
Q2708837,mayoruna,país de origen,Perú,Perú,Q419
Q2708837,mayoruna,país de origen,Brasil,Brasil,Q155
Q3693591,Kurripako,país,Colombia,Colombia,Q739
Q3693591,Kurripako,país,Venezuela,Venezuela,Q717
Q3693591,Kurripako,país,Brasil,Brasil,Q155
Q2630736,Kuikuro,instancia de,pueblo indígena,pueblo indígena,Q103817
Q2549328,Wari’ people,país de origen,Brasil,Brasil,Q155
Q3816635,Guanano,país de origen,Brasil,Brasil,Q155
Q2522647,Idioma trumaí,nativo de,Parque Indígena de Xingu,Parque Indígena de Xingu,Q183444
Q3507494,Madijas,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3513512,Kanamarí,nombre en la lengua nativa,Kanamari,Kanamari,
Q2530880,Mehináku,país de origen,Brasil,Brasil,Q155
Q3879306,Nukini,nombre en la lengua nativa,Nukini,Nukini,
Q9696431,Karafawyana,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3843707,Makuráp,país,Brasil,Brasil,Q155
Q10335406,Naknenuk,país,Brasil,Brasil,Q155
Q11443101,Piraha,país de origen,Brasil,Brasil,Q155
Q3816974,Krenak,instancia de,pueblo indígena,pueblo indígena,Q103817
Q10380190,Tenondé Porã,país,Brasil,Brasil,Q155
Q7650652,Suyá people,país de origen,Brasil,Brasil,Q155
Q10288542,Gaviões,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3851895,Matipu people,país,Brasil,Brasil,Q155
Q5363631,ticuna,instancia de,pueblo indígena,pueblo indígena,Q103817
Q4001119,Ikpeng,instancia de,pueblo indígena,pueblo indígena,Q103817
Q6415329,Kiriri people,instancia de,pueblo indígena,pueblo indígena,Q103817
Q10352252,Indigenous peoples of Maranhão,instancia de,pueblo indígena,pueblo indígena,Q103817
Q9674956,Camacãs,instancia de,pueblo indígena,pueblo indígena,Q103817
Q9643253,Baenã,instancia de,pueblo indígena,pueblo indígena,Q103817
Q9696431,Karafawyana,país,Brasil,Brasil,Q155
Q10322847,Yuhupdeh,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3843707,Makuráp,país de origen,Brasil,Brasil,Q155
Q7650652,Suyá people,nombre en la lengua nativa,Kisêdjê,Kisêdjê,
Q3816974,Krenak,país,Brasil,Brasil,Q155
Q3980976,Tapayuna people,instancia de,pueblo indígena,pueblo indígena,Q103817
Q10288542,Gaviões,país,Brasil,Brasil,Q155
Q10322847,Yuhupdeh,nombre en la lengua nativa,Yuhupde,Yuhupde,
Q3851895,Matipu people,país de origen,Brasil,Brasil,Q155
Q5363631,ticuna,país,Colombia,Colombia,Q739
Q5363631,ticuna,país,Perú,Perú,Q419
Q5363631,ticuna,país,Brasil,Brasil,Q155
Q10385722,Poble tuxá,instancia de,pueblo indígena,pueblo indígena,Q103817
Q4021876,Xukuru-Kariri,nombre en la lengua nativa,Xukuru-Kariri,Xukuru-Kariri,
Q3816635,Guanano,nombre en la lengua nativa,Kotiria,Kotiria,
Q4001119,Ikpeng,país,Brasil,Brasil,Q155
Q6415329,Kiriri people,país,Brasil,Brasil,Q155
Q10352252,Indigenous peoples of Maranhão,país,Brasil,Brasil,Q155
Q10271711,Eleotérios-do-catu,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3858795,miraña,nombre en la lengua nativa,Miranha,Miranha,
Q3879306,Nukini,instancia de,tribu,tribu,Q133311
Q3879306,Nukini,instancia de,pueblo indígena,pueblo indígena,Q103817
Q9674956,Camacãs,país,Brasil,Brasil,Q155
Q10322847,Yuhupdeh,instancia de,grupo humano aislado,grupo humano aislado,Q3117863
Q9643253,Baenã,país,Brasil,Brasil,Q155
Q10322847,Yuhupdeh,país,Colombia,Colombia,Q739
Q10322847,Yuhupdeh,país,Brasil,Brasil,Q155
Q3816974,Krenak,país de origen,Brasil,Brasil,Q155
Q10382591,Tinguis,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3980976,Tapayuna people,país,Brasil,Brasil,Q155
Q5363631,ticuna,país de origen,Colombia,Colombia,Q739
Q5363631,ticuna,país de origen,Perú,Perú,Q419
Q5363631,ticuna,país de origen,Brasil,Brasil,Q155
Q10385722,Poble tuxá,país,Brasil,Brasil,Q155
Q4001119,Ikpeng,país de origen,Brasil,Brasil,Q155
Q6415329,Kiriri people,país de origen,Brasil,Brasil,Q155
Q10352252,Indigenous peoples of Maranhão,país de origen,Brasil,Brasil,Q155
Q10271711,Eleotérios-do-catu,país,Brasil,Brasil,Q155
Q3879306,Nukini,país,Brasil,Brasil,Q155
Q10375164,Suruí de Rondônia,subclase de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q9696431,Karafawyana,situado en la entidad territorial administrativa,Amazonas,Amazonas,Q40040
Q10322847,Yuhupdeh,país de origen,Colombia,Colombia,Q739
Q10322847,Yuhupdeh,país de origen,Brasil,Brasil,Q155
Q3843707,Makuráp,nombre en la lengua nativa,Makurap,Makurap,
Q4021876,Xukuru-Kariri,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3980976,Tapayuna people,país de origen,Brasil,Brasil,Q155
Q10382591,Tinguis,país,Brasil,Brasil,Q155
Q3851895,Matipu people,nombre en la lengua nativa,Matipu,Matipu,
Q10368371,Kariri-Sapuyá,instancia de,pueblo indígena,pueblo indígena,Q103817
